2020-05-08 16:47:59,802 [AUDIT] Token created by 'jffe@000': tokenId='383035de-59f1-4fd7-9434-af781a4c20d4', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1588957079795, refreshable=false
2020-05-08 16:48:00,394 [AUDIT] Token created by 'jffe@000': tokenId='f2182685-ca7a-496b-8069-48148ccbbd26', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1588957080390, refreshable=false
2020-05-08 16:48:07,291 [AUDIT] Token created by 'jffe@000': tokenId='3dd31bd7-6c0c-4427-9d7c-fe636e1bd741', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1588957087283, refreshable=false
2020-05-08 16:48:14,211 [AUDIT] Token created by 'jffe@000': tokenId='b2d0ba2a-28e0-448f-8e68-050988341c45', issuer='jffe@000', subject='jffe@000', expiry=1588957094205, refreshable=false
2020-05-08 16:48:14,225 [AUDIT] Token created by 'jffe@000': tokenId='c24bbcf5-50d3-43d5-8864-84612a929b9d', issuer='jffe@000', subject='jffe@000', expiry=1588957094214, refreshable=false
2020-05-08 16:48:14,236 [AUDIT] Token created by 'jffe@000': tokenId='01d53bf1-3f5c-4766-b5ec-a0a3ef3a9363', issuer='jffe@000', subject='jffe@000', expiry=1588957094218, refreshable=false
2020-05-08 16:48:14,252 [AUDIT] Token created by 'jffe@000': tokenId='b364b1f8-1287-4b89-9876-e298b7376505', issuer='jffe@000', subject='jffe@000', expiry=1588957094218, refreshable=false
2020-05-08 16:50:00,251 [AUDIT] Token created by 'jffe@000': tokenId='6f0d1784-39d4-46bb-8a0b-09c6e143a384', issuer='jffe@000', subject='jffe@000/users/anonymous', expiry=1588957200245, refreshable=false
2020-05-08 16:50:06,526 [AUDIT] Token created by 'jffe@000': tokenId='cb42a27f-26a9-4ea0-8426-0041a4ed0c71', issuer='jffe@000', subject='panda', expiry=1588958406520, refreshable=true
2020-05-08 16:50:06,637 [AUDIT] Token created by 'jffe@000': tokenId='3f9a4a8b-183f-44a2-89e1-1b702c480878', issuer='jffe@000', subject='jffe@000/users/panda', expiry=1588957206631, refreshable=false
2020-05-08 16:50:35,923 [AUDIT] Token created by 'jffe@000': tokenId='e9e7674d-dfac-47df-885a-57b4c0e89ee9', issuer='jffe@000', subject='admin', expiry=1588958435913, refreshable=true
2020-05-08 16:50:36,022 [AUDIT] Token created by 'jffe@000': tokenId='1f804027-ca07-4965-864f-9feb300f05df', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1588957236010, refreshable=false
2020-05-08 16:50:36,043 [AUDIT] Token created by 'jffe@000': tokenId='c0b234b0-22ac-4d55-84e1-334d01f8afb1', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1588957236018, refreshable=false
2020-05-08 16:50:36,747 [AUDIT] Token created by 'jffe@000': tokenId='33d32764-b454-4366-9f93-6b4a214c59db', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1588957236736, refreshable=false
2020-05-08 16:54:03,083 [AUDIT] Token created by 'jffe@000': tokenId='2d4dfba3-f77b-4963-8f85-5a3901dd466d', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1588957443077, refreshable=false
2020-05-08 16:55:35,906 [AUDIT] Token refreshed by 'jffe@000': oldTokenId='e9e7674d-dfac-47df-885a-57b4c0e89ee9', tokenId='92049d83-cc8a-415d-a06a-241dca92899b', issuer='jffe@000', subject='admin', expiry=1588958735899, refreshable=true
2020-05-08 16:58:14,273 [AUDIT] Token created by 'jffe@000': tokenId='d5af502d-72dc-4e28-bb0b-ff5680755597', issuer='jffe@000', subject='jffe@000', expiry=1588957694264, refreshable=false
2020-05-08 16:58:14,286 [AUDIT] Token created by 'jffe@000': tokenId='e8b995c8-32a3-4e13-8c5d-83d22a853ca7', issuer='jffe@000', subject='jffe@000', expiry=1588957694271, refreshable=false
2020-05-08 16:58:14,306 [AUDIT] Token created by 'jffe@000': tokenId='f1e511e6-beb9-404d-aab8-5a151d694506', issuer='jffe@000', subject='jffe@000', expiry=1588957694286, refreshable=false
2020-05-08 16:58:14,337 [AUDIT] Token created by 'jffe@000': tokenId='db3afcbf-419f-4729-af9e-fedd9e06621e', issuer='jffe@000', subject='jffe@000', expiry=1588957694303, refreshable=false
2020-05-08 17:00:37,027 [AUDIT] Token refreshed by 'jffe@000': oldTokenId='92049d83-cc8a-415d-a06a-241dca92899b', tokenId='e0e4aef3-ff36-4ee8-807a-3f3f238e3dc0', issuer='jffe@000', subject='admin', expiry=1588959037018, refreshable=true
2020-05-08 17:00:37,101 [AUDIT] Token created by 'jffe@000': tokenId='ecb9cc1d-6783-4040-a684-2bbe36e3138f', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1588957837089, refreshable=false
2020-05-08 17:02:32,642 [AUDIT] Token created by 'jffe@000': tokenId='4f647f2c-0152-4f50-895a-c0b133c104b7', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1588957952640, refreshable=false
2020-05-08 17:08:14,270 [AUDIT] Token created by 'jffe@000': tokenId='40a2ee0c-98b9-4753-8464-106cacd594ff', issuer='jffe@000', subject='jffe@000', expiry=1588958294265, refreshable=false
2020-05-08 17:08:14,281 [AUDIT] Token created by 'jffe@000': tokenId='b0d0b095-c6d9-4ca8-9a4e-3e0e009540f6', issuer='jffe@000', subject='jffe@000', expiry=1588958294266, refreshable=false
2020-05-08 17:08:14,295 [AUDIT] Token created by 'jffe@000': tokenId='9b0a0d4d-284b-43fc-b1fd-bf2568aa3e44', issuer='jffe@000', subject='jffe@000', expiry=1588958294267, refreshable=false
2020-05-08 17:08:14,299 [AUDIT] Token created by 'jffe@000': tokenId='6ddb5408-885b-4b39-8fc4-c517899662e6', issuer='jffe@000', subject='jffe@000', expiry=1588958294288, refreshable=false
2020-05-08 17:10:57,943 [AUDIT] Token created by 'jffe@000': tokenId='e514ebd2-081a-43c5-9c5a-826a8adf729b', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1588958457942, refreshable=false
2020-05-08 17:18:14,293 [AUDIT] Token created by 'jffe@000': tokenId='5b0e6bf8-4915-48bb-ae82-20eb2f6ea040', issuer='jffe@000', subject='jffe@000', expiry=1588958894288, refreshable=false
