2020-05-08T16:45:57.317Z|641fdff764c6a2f4|::ffff:127.0.0.1|admin|GET|/api/v1/ui/auth/screen/systemMessages|200|2|-|43.106|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-08T16:46:03.630Z|2af3d59742eb4044|::ffff:127.0.0.1|admin|POST|/api/v1/access/permissions|200|324|277|245.273|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-08T16:46:04.014Z|4f7a000f4ca6e787|::ffff:127.0.0.1|admin|GET|/api/v1/access/permissions?limit=12&direction=asc|200|-|-|125.582|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-08T16:46:10.507Z|43775b02d65a5102|::ffff:127.0.0.1|admin|GET|/api/v1/ui/home/widget/artifactCount?$no_spinner=true|200|69|-|7.381|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-08T16:46:10.557Z|6eb3cb50a4173c7a|::ffff:127.0.0.1|admin|GET|/api/v1/ui/home/widget/artifactCount?$no_spinner=true|200|69|-|42.816|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-08T16:46:10.697Z|611eb2ecbeed38e0|::ffff:127.0.0.1|admin|POST|/api/v1/ui/treebrowser?compacted=true&$no_spinner=true|200|-|94|25.715|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-08T16:46:10.852Z|2321de69735c8803|::ffff:127.0.0.1|admin|POST|/api/v1/ui/treebrowser/tabsAndActions?$no_spinner=true|200|310|104|6.933|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-08T16:46:11.052Z|50c0f734c9a1954 |::ffff:127.0.0.1|admin|POST|/api/v1/ui/artifactactions/download?$no_spinner=true|200|58|36|7.768|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-08T16:46:11.235Z|51d6aaa8a88cc5b9|::ffff:127.0.0.1|admin|POST|/api/v1/ui/artifactgeneral?$no_spinner=true|200|463|69|25.974|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-08T16:46:11.519Z|2147bea6775e619e|::ffff:127.0.0.1|admin|GET|/api/v1/ui/auth/canAnnotate?repoKey=libs-release&path=&$no_spinner=true|200|4|-|8.692|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-08T16:46:21.979Z|72fa4a5af9374135|::ffff:127.0.0.1|admin|GET|/api/v1/auth/issaml|200|5|-|2.919|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-08T16:46:22.034Z|5bc9e842f1fc17dc|::ffff:127.0.0.1|anonymous|POST|/api/v1/ui/auth/logout|200|0|0|6.058|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-08T16:46:22.159Z|1093eecb318938c5|::ffff:127.0.0.1|anonymous|GET|/api/v1/ui/auth/current|200|477|-|106.884|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-08T16:46:22.470Z|437ef6d8cbbc0170|::ffff:127.0.0.1|anonymous|POST|/api/v1/ui/auth/loginRelatedData|200|45|17|10.052|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-08T16:46:22.523Z|7f6374c71a70c038|::ffff:127.0.0.1|anonymous|GET|/api/v1/ui/oauth2/loginRequestPlatform|404|74|-|5.717|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-08T16:46:22.533Z|566fa3f8da8d15ba|::ffff:127.0.0.1|anonymous|GET|/api/v1/ui/auth/screen/systemMessages|200|2|-|8.325|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-08T16:46:27.236Z|6fcd7b3cdbf69f97|::ffff:127.0.0.1|anonymous|POST|/api/v1/ui/auth/login?_spring_security_remember_me=false|200|427|53|164.919|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
